Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,58234.259248737726,22912.06843874409,-150.57368340200168,35472.76449339563,13170.5875,22302.17699339563,38.29734812653094
2006,54429.623537561405,23610.68182492027,-9.695847921371325,30828.637560562507,16062.740999999998,14765.896560562509,27.12841941736506
2007,56444.83556657114,23059.77416089299,365.8174994472265,33019.24390623092,15815.4565,17203.78740623092,30.478939717949473
2008,68301.48549893104,24951.471794622237,273.13012470579145,43076.883579603,26240.1109,16836.772679603007,24.650668366307364
2009,65902.09856746951,23728.690563235457,-653.0368897061348,42826.44489394019,25128.4058,17698.039093940195,26.855046316652913
2010,57217.38321992131,22271.451431650723,336.6676201378357,34609.26416813275,16034.7871,18574.47706813275,32.46299642320185
2011,70351.77635074372,24381.37152661388,761.8183986212788,45208.58642550856,23373.761,21834.825425508563,31.036636966562874
2012,67034.97112324873,24541.94996189376,-158.4631658047267,42651.48432715969,25283.227400000007,17368.256927159688,25.90924801806339
