Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,44487.144847601536,24311.603997550177,51.718555575788145,20123.82229447557,13170.5875,6953.2347944755675,52.79365703675381
2006,47013.70200057246,25124.036482506064,-157.57446866935493,22047.23998673576,16062.740999999998,5984.498986735762,37.25702224007573
2007,44208.92652325229,25089.658908826103,451.76681382483247,18667.500800601356,15815.4565,2852.0443006013547,18.033272075335635
2008,58266.06346656115,24179.497149818162,260.8472340092659,33825.71908273373,26240.1109,7585.60818273373,28.90844559172092
2009,56963.84704355805,24304.938708382444,-800.1856290531159,33459.09396422873,25128.4058,8330.688164228726,33.15247385979705
2010,49354.24645495185,26389.47492621902,251.4367293860572,22713.334799346772,16034.7871,6678.547699346773,41.650367152968144
2011,57051.02394628066,23099.647713193695,659.6798687051298,33291.696364381816,23373.761,9917.93536438182,42.43191912667294
2012,49253.747663144866,24430.39239569302,-150.14961880213218,24973.504886253984,25283.227400000007,-309.72251374602183,-1.2250117789393522
