Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,44487.144847601536,29661.564144313277,-150.57368340200168,14976.154386690254,13170.5875,1805.5668866902533,4.05862613317968
2006,47013.70200057246,30991.090702161346,-9.695847921371325,16032.307146332494,16062.740999999998,-30.433853667504536,-0.06473400811349415
2007,44208.92652325229,30470.52608289739,365.8174994472265,13372.582940907672,15815.4565,-2442.873559092327,-5.525747289537701
2008,58266.06346656115,29990.379865908362,273.13012470579145,28002.553475947003,26240.1109,1762.4425759470025,3.024818343800533
2009,56963.84704355805,30383.846307784966,-653.0368897061348,27233.03762547922,25128.4058,2104.6318254792204,3.6946799324664465
2010,49354.24645495185,30931.448788592144,336.6676201378357,18086.130046221864,16034.7871,2051.3429462218664,4.156365649497317
2011,57051.02394628066,27427.335765475862,761.8183986212788,28861.8697821835,23373.761,5488.1087821835035,9.619649924865707
2012,49253.747663144866,28512.305661223152,-158.4631658047267,20899.905167726443,25283.227400000007,-4383.322232273562,-8.899469462205966
