Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,43521.77035023516,24311.603997550177,119.01682802092998,19091.149524664055,13170.5875,5920.562024664054,13.603679209322566
2006,43777.01341977595,25124.036482506064,-592.1513081126213,19245.12824538251,16062.740999999998,3182.3872453825115,7.269539415278821
2007,43649.71009865526,25089.658908826103,654.0848927264212,17905.966297102736,15815.4565,2090.509797102736,4.789286784214265
2008,59217.09161817528,24179.497149818162,603.5215513105393,34434.07291704659,26240.1109,8193.96201704659,13.837157133417286
2009,55306.95071844131,24304.938708382444,-1153.617703509689,32155.62971356856,25128.4058,7027.223913568561,12.705860334522898
2010,51477.942442175154,26389.47492621902,-107.08176929863933,25195.549285254776,16034.7871,9160.762185254776,17.79550959237542
2011,58280.21608425378,23099.647713193695,1149.6187130973692,34030.9496579627,23373.761,10657.188657962706,18.28611726929077
2012,49785.1968014772,24430.39239569302,-122.24020997745643,25477.04461576163,25283.227400000007,193.8172157616259,0.38930691895120734
