Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,44487.144847601536,29754.600921909114,51.718555575788145,14680.825370116629,13170.5875,1510.237870116628,3.3947736481858093
2006,47013.70200057246,29616.298113525747,-157.57446866935493,17554.978355716077,16062.740999999998,1492.2373557160781,3.174047761007861
2007,44208.92652325229,29404.76538319914,451.76681382483247,14352.394326228314,15815.4565,-1463.0621737716858,-3.309427052027984
2008,58266.06346656115,29763.640711119453,260.8472340092659,28241.575521432434,26240.1109,2001.4646214324337,3.4350434924800997
2009,56963.84704355805,29937.881009796896,-800.1856290531159,27826.151662814274,25128.4058,2697.7458628142736,4.735891276358866
2010,49354.24645495185,30600.746025962068,251.4367293860572,18502.063699603725,16034.7871,2467.2765996037265,4.999117151663406
2011,57051.02394628066,29170.945444800764,659.6798687051298,27220.39863277475,23373.761,3846.6376327747525,6.742451522687398
2012,49253.747663144866,30213.771987308955,-150.14961880213218,19190.125294638055,25283.227400000007,-6093.102105361952,-12.370839569475526
