Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,44487.144847601536,29661.564144313277,119.01682802092998,14706.563875267322,13170.5875,1535.9763752673216,3.4526296990491887
2006,47013.70200057246,30991.090702161346,-592.1513081126213,16614.762606523742,16062.740999999998,552.0216065237448,1.1741717478811244
2007,44208.92652325229,30470.52608289739,654.0848927264212,13084.315547628477,15815.4565,-2731.1409523715224,-6.177804274290717
2008,58266.06346656115,29990.379865908362,603.5215513105393,27672.162049342252,26240.1109,1432.0511493422537,2.4577791327263885
2009,56963.84704355805,30383.846307784966,-1153.617703509689,27733.61843928277,25128.4058,2605.212639282772,4.573449256842971
2010,49354.24645495185,30931.448788592144,-107.08176929863933,18529.879435658342,16034.7871,2495.0923356583426,5.055476508866854
2011,57051.02394628066,27427.335765475862,1149.6187130973692,28474.069467707413,23373.761,5100.308467707414,8.939906972589789
2012,49253.747663144866,28512.305661223152,-122.24020997745643,20863.682211899177,25283.227400000007,-4419.545188100832,-8.973013014820491
