Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,58234.259248737726,29754.600921909114,-150.57368340200168,28630.232010230604,13170.5875,15459.644510230602,117.38006759554654
2006,54429.623537561405,29616.298113525747,-9.695847921371325,24823.021271957034,16062.740999999998,8760.280271957037,54.537891583740524
2007,56444.83556657114,29404.76538319914,365.8174994472265,26674.252683924773,15815.4565,10858.796183924771,68.65939142461535
2008,68301.48549893104,29763.640711119453,273.13012470579145,38264.71466310579,26240.1109,12024.603763105792,45.82527798350803
2009,65902.09856746951,29937.881009796896,-653.0368897061348,36617.25444737876,25128.4058,11488.848647378756,45.72056316990374
2010,57217.38321992131,30600.746025962068,336.6676201378357,26279.969573821407,16034.7871,10245.182473821409,63.893473670264136
2011,70351.77635074372,29170.945444800764,761.8183986212788,40419.012507321684,23373.761,17045.251507321685,72.92472746393568
2012,67034.97112324873,30213.771987308955,-158.4631658047267,36979.66230174451,25283.227400000007,11696.4349017445,46.261637079388436
