Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,43521.77035023516,29754.600921909114,51.718555575788145,13715.450872750256,13170.5875,544.8633727502561,1.2519329254429377
2006,43777.01341977595,29616.298113525747,-157.57446866935493,14318.28977491956,16062.740999999998,-1744.4512250804382,-3.9848566377814962
2007,43649.71009865526,29404.76538319914,451.76681382483247,13793.177901631287,15815.4565,-2022.2785983687131,-4.632971430504448
2008,59217.09161817528,29763.640711119453,260.8472340092659,29192.603673046564,26240.1109,2952.492773046566,4.985879401311848
2009,55306.95071844131,29937.881009796896,-800.1856290531159,26169.255337697534,25128.4058,1040.8495376975352,1.8819506846369651
2010,51477.942442175154,30600.746025962068,251.4367293860572,20625.759686827034,16034.7871,4590.9725868270325,8.91832961658101
2011,58280.21608425378,29170.945444800764,659.6798687051298,28449.590770747876,23373.761,5075.82977074788,8.709353039134104
2012,49785.1968014772,30213.771987308955,-150.14961880213218,19721.574432970378,25283.227400000007,-5561.6529670296295,-11.171298547251313
