Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,58234.259248737726,25249.605278917523,119.01682802092998,32865.63714179926,13170.5875,19695.049641799265,33.820383217506404
2006,54429.623537561405,39898.00244910016,-592.1513081126213,15123.772396573862,16062.740999999998,-938.9686034261354,-1.725105819955123
2007,56444.83556657114,28461.975354376165,654.0848927264212,27328.775319468557,15815.4565,11513.318819468557,20.397470740949768
2008,68301.48549893104,22049.752645505007,603.5215513105393,45648.21130211548,26240.1109,19408.10040211548,28.41534157030776
2009,65902.09856746951,33121.67686766395,-1153.617703509689,33934.03940331526,25128.4058,8805.633603315262,13.36168922496481
2010,57217.38321992131,39947.668105645076,-107.08176929863933,17376.79688357487,16034.7871,1342.0097835748702,2.3454581598335387
2011,70351.77635074372,24239.958107565955,1149.6187130973692,44962.1995300804,23373.761,21588.438530080402,30.686415681175877
2012,67034.97112324873,22308.816154521595,-122.24020997745643,44848.395178704595,25283.227400000007,19565.167778704585,29.186508848840383
