Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,44487.144847601536,29754.600921909114,119.01682802092998,14613.527097671486,13170.5875,1442.939597671486,3.24349787475579
2006,47013.70200057246,29616.298113525747,-592.1513081126213,17989.555195159344,16062.740999999998,1926.8141951593443,4.098409853229347
2007,44208.92652325229,29404.76538319914,654.0848927264212,14150.076247326726,15815.4565,-1665.3802526732743,-3.767067838205356
2008,58266.06346656115,29763.640711119453,603.5215513105393,27898.90120413116,26240.1109,1658.7903041311613,2.846923587146298
2009,56963.84704355805,29937.881009796896,-1153.617703509689,28179.583737270845,25128.4058,3051.1779372708456,5.356341075309973
2010,49354.24645495185,30600.746025962068,-107.08176929863933,18860.582198288423,16034.7871,2825.7950982884213,5.725535898653968
2011,57051.02394628066,29170.945444800764,1149.6187130973692,26730.45978838251,23373.761,3356.6987883825145,5.883678427127246
2012,49253.747663144866,30213.771987308955,-122.24020997745643,19162.21588581338,25283.227400000007,-6121.011514186626,-12.42750410801085
