Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,44487.144847601536,22912.06843874409,119.01682802092998,21456.05958083651,13170.5875,8285.472080836511,62.90890274132806
2006,47013.70200057246,23610.68182492027,-592.1513081126213,23995.171483764818,16062.740999999998,7932.4304837648215,49.38404026912232
2007,44208.92652325229,23059.77416089299,654.0848927264212,20495.067469632875,15815.4565,4679.610969632875,29.588845378145578
2008,58266.06346656115,24951.471794622237,603.5215513105393,32711.070120628377,26240.1109,6470.959220628378,24.66056353682704
2009,56963.84704355805,23728.690563235457,-1153.617703509689,34388.77418383228,25128.4058,9260.368383832285,36.852192126857034
2010,49354.24645495185,22271.451431650723,-107.08176929863933,27189.876792599767,16034.7871,11155.089692599766,69.56805614587653
2011,57051.02394628066,24381.37152661388,1149.6187130973692,31520.033706569397,23373.761,8146.272706569398,34.85221187368776
2012,49253.747663144866,24541.94996189376,-122.24020997745643,24834.037911228566,25283.227400000007,-449.1894887714395,-1.7766303394140235
