Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,58234.259248737726,29754.600921909114,119.01682802092998,28360.641498807672,13170.5875,15190.053998807673,115.33315426367786
2006,54429.623537561405,29616.298113525747,-592.1513081126213,25405.476732148283,16062.740999999998,9342.735732148285,58.164019031050096
2007,56444.83556657114,29404.76538319914,654.0848927264212,26385.985290645574,15815.4565,10570.528790645574,66.83669731977432
2008,68301.48549893104,29763.640711119453,603.5215513105393,37934.32323650105,26240.1109,11694.212336501047,44.56616963650503
2009,65902.09856746951,29937.881009796896,-1153.617703509689,37117.83526118231,25128.4058,11989.42946118231,47.712654581462985
2010,57217.38321992131,30600.746025962068,-107.08176929863933,26723.71896325788,16034.7871,10688.931863257883,66.66089045396733
2011,70351.77635074372,29170.945444800764,1149.6187130973692,40031.21219284559,23373.761,16657.451192845594,71.26560074283978
2012,67034.97112324873,30213.771987308955,-122.24020997745643,36943.43934591724,25283.227400000007,11660.211945917232,46.11836836114217
