date,ETA
1,92.95101771865822
2,93.95576214895375
3,114.57313607057634
4,118.80913150468061
5,118.56375189289648
6,116.87978386563876
7,118.42364026936491
8,127.29611353937224
9,125.26536114170338
10,129.7618607172357
11,117.40261191033407
12,111.78783641932819
