Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,58234.259248737726,29661.564144313277,119.01682802092998,28453.67827640351,13170.5875,15283.09077640351,116.03955234649564
2006,54429.623537561405,30991.090702161346,-592.1513081126213,24030.68414351268,16062.740999999998,7967.9431435126835,49.605127440657135
2007,56444.83556657114,30470.52608289739,654.0848927264212,25320.224590947328,15815.4565,9504.76809094733,60.09796866089404
2008,68301.48549893104,29990.379865908362,603.5215513105393,37707.584081712135,26240.1109,11467.473181712137,43.702075899809316
2009,65902.09856746951,30383.846307784966,-1153.617703509689,36671.86996319424,25128.4058,11543.464163194241,45.93790889509688
2010,57217.38321992131,30931.448788592144,-107.08176929863933,26393.0162006278,16034.7871,10358.229100627801,64.59848226252907
2011,70351.77635074372,27427.335765475862,1149.6187130973692,41774.82187217048,23373.761,18401.060872170485,78.725288891978
2012,67034.97112324873,28512.305661223152,-122.24020997745643,38644.905672003035,25283.227400000007,13361.678272003024,52.84799310076617
