Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,43521.77035023516,29754.600921909114,-150.57368340200168,13917.743111728043,13170.5875,747.1556117280438,1.71673993432578
2006,43777.01341977595,29616.298113525747,-9.695847921371325,14170.411154171576,16062.740999999998,-1892.329845828422,-4.32265633948792
2007,43649.71009865526,29404.76538319914,365.8174994472265,13879.127216008892,15815.4565,-1936.3292839911087,-4.436064476979796
2008,59217.09161817528,29763.640711119453,273.13012470579145,29180.32078235004,26240.1109,2940.209882350042,4.965137263593024
2009,55306.95071844131,29937.881009796896,-653.0368897061348,26022.106598350554,25128.4058,893.7007983505534,1.6158923729139198
2010,51477.942442175154,30600.746025962068,336.6676201378357,20540.528796075254,16034.7871,4505.741696075255,8.752761828304475
2011,58280.21608425378,29170.945444800764,761.8183986212788,28347.452240831728,23373.761,4973.691240831731,8.534098833198268
2012,49785.1968014772,30213.771987308955,-158.4631658047267,19729.887979972973,25283.227400000007,-5553.339420027033,-11.154599713990198
