Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,43521.77035023516,22912.06843874409,-150.57368340200168,20760.27559489307,13170.5875,7589.688094893072,17.438831264942014
2006,43777.01341977595,23610.68182492027,-9.695847921371325,20176.027442777053,16062.740999999998,4113.286442777055,9.395996029548483
2007,43649.71009865526,23059.77416089299,365.8174994472265,20224.118438315043,15815.4565,4408.661938315042,10.10009442983875
2008,59217.09161817528,24951.471794622237,273.13012470579145,33992.489698847254,26240.1109,7752.378798847254,13.091454826646446
2009,55306.95071844131,23728.690563235457,-653.0368897061348,32231.297044911993,25128.4058,7102.891244911993,12.842673755549564
2010,51477.942442175154,22271.451431650723,336.6676201378357,28869.8233903866,16034.7871,12835.036290386597,24.933079453989663
2011,58280.21608425378,24381.37152661388,761.8183986212788,33137.02615901861,23373.761,9763.265159018614,16.7522803019539
2012,49785.1968014772,24541.94996189376,-158.4631658047267,25401.710005388162,25283.227400000007,118.48260538815566,0.23798762081952865
