Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,44487.144847601536,25249.605278917523,51.718555575788145,19185.82101310822,13170.5875,6015.23351310822,45.671717477357944
2006,47013.70200057246,39898.00244910016,-157.57446866935493,7273.274020141658,16062.740999999998,-8789.46697985834,-54.719595988370486
2007,44208.92652325229,28461.975354376165,451.76681382483247,15295.184355051293,15815.4565,-520.2721449487065,-3.2896435518551517
2008,58266.06346656115,22049.752645505007,260.8472340092659,35955.46358704688,26240.1109,9715.35268704688,37.02481564987166
2009,56963.84704355805,33121.67686766395,-800.1856290531159,24642.355804947223,25128.4058,-486.04999505277715,-1.934265145673416
2010,49354.24645495185,39947.668105645076,251.4367293860572,9155.141619920716,16034.7871,-6879.645480079284,-42.90450155137566
2011,57051.02394628066,24239.958107565955,659.6798687051298,32151.385970009556,23373.761,8777.62497000956,37.55332729726106
2012,49253.747663144866,22308.816154521595,-150.14961880213218,27095.081127425412,25283.227400000007,1811.8537274254047,7.166228024454679
