date,ETA
2005,1130.6145187904094
2006,1168.3968042834051
2007,1166.7980704471984
2008,1124.4708714978449
2009,1130.304548592403
2010,1227.2461947737065
2011,1074.2523235452586
2012,1136.1387897359914
