Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,58234.259248737726,24311.603997550177,-150.57368340200168,34073.22893458954,13170.5875,20902.641434589543,35.89406254024365
2006,54429.623537561405,25124.036482506064,-9.695847921371325,29315.282902976716,16062.740999999998,13252.54190297672,24.34803153439277
2007,56444.83556657114,25089.658908826103,365.8174994472265,30989.35915829781,15815.4565,15173.90265829781,26.882712131212926
2008,68301.48549893104,24179.497149818162,273.13012470579145,43848.858224407086,26240.1109,17608.747324407086,25.78091412767688
2009,65902.09856746951,24304.938708382444,-653.0368897061348,42250.19674879321,25128.4058,17121.790948793212,25.980646020345162
2010,57217.38321992131,26389.47492621902,336.6676201378357,30491.240673564454,16034.7871,14456.453573564453,25.26584188235153
2011,70351.77635074372,23099.647713193695,761.8183986212788,46490.310238928745,23373.761,23116.549238928746,32.8585153609762
2012,67034.97112324873,24430.39239569302,-158.4631658047267,42763.04189336044,25283.227400000007,17479.81449336043,26.075664985702023
