Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,44487.144847601536,24311.603997550177,119.01682802092998,20056.524022030426,13170.5875,6885.936522030424,15.478486078662499
2006,47013.70200057246,25124.036482506064,-592.1513081126213,22481.816826179027,16062.740999999998,6419.075826179029,13.653627672419558
2007,44208.92652325229,25089.658908826103,654.0848927264212,18465.182721699766,15815.4565,2649.726221699765,5.993645243356238
2008,58266.06346656115,24179.497149818162,603.5215513105393,33483.04476543246,26240.1109,7242.93386543246,12.430793217374594
2009,56963.84704355805,24304.938708382444,-1153.617703509689,33812.5260386853,25128.4058,8684.120238685298,15.244967974239673
2010,49354.24645495185,26389.47492621902,-107.08176929863933,23071.853298031467,16034.7871,7037.066198031467,14.258279081323952
2011,57051.02394628066,23099.647713193695,1149.6187130973692,32801.75751998958,23373.761,9427.996519989578,16.525551809318966
2012,49253.747663144866,24430.39239569302,-122.24020997745643,24945.59547742931,25283.227400000007,-337.63192257069727,-0.6854948883886399
