date,dS
1,-0.6196716481269
2,-1.662741986558188
3,-3.3078823584283517
4,-0.06647592816840497
5,1.4994135340409618
6,5.6281855930368625
7,2.8103331895811223
8,-2.0779129826596803
9,-2.2576474435627456
10,-0.40553226570288325
11,3.5244678434516707
12,0.13938364028468575
