Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,58234.259248737726,25249.605278917523,51.718555575788145,32932.935414244406,13170.5875,19762.347914244405,150.04909928463258
2006,54429.623537561405,39898.00244910016,-157.57446866935493,14689.195557130597,16062.740999999998,-1373.545442869401,-8.551127375268026
2007,56444.83556657114,28461.975354376165,451.76681382483247,27531.093398370147,15815.4565,11715.636898370145,74.07713396303258
2008,68301.48549893104,22049.752645505007,260.8472340092659,45990.88561941676,26240.1109,19750.774719416764,75.26940261299264
2009,65902.09856746951,33121.67686766395,-800.1856290531159,33580.607328858685,25128.4058,8452.201528858686,33.6360435919842
2010,57217.38321992131,39947.668105645076,251.4367293860572,17018.278384890174,16034.7871,983.4912848901749,6.133485145494542
2011,70351.77635074372,24239.958107565955,659.6798687051298,45452.13837447263,23373.761,22078.37737447264,94.457958111545
2012,67034.97112324873,22308.816154521595,-150.14961880213218,44876.304587529274,25283.227400000007,19593.077187529263,77.49436761989197
