Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,58234.259248737726,22912.06843874409,119.01682802092998,35203.17398197269,13170.5875,22032.586481972696,167.28628454860268
2006,54429.623537561405,23610.68182492027,-592.1513081126213,31411.093020753757,16062.740999999998,15348.352020753759,95.55250888222477
2007,56444.83556657114,23059.77416089299,654.0848927264212,32730.976512951725,15815.4565,16915.520012951725,106.95562289303331
2008,68301.48549893104,24951.471794622237,603.5215513105393,42746.49215299825,26240.1109,16506.381252998257,62.90515049994799
2009,65902.09856746951,23728.690563235457,-1153.617703509689,43327.025707743756,25128.4058,18198.619907743752,72.42250086451466
2010,57217.38321992131,22271.451431650723,-107.08176929863933,35053.013557569226,16034.7871,19018.226457569224,118.60604284274672
2011,70351.77635074372,24381.37152661388,1149.6187130973692,44820.786111032474,23373.761,21447.025111032475,91.75684268797168
2012,67034.97112324873,24541.94996189376,-122.24020997745643,42615.261371332424,25283.227400000007,17332.033971332414,68.55150925602325
