Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,43521.77035023516,29661.564144313277,51.718555575788145,13808.487650346091,13170.5875,637.9001503460909,1.4657035897498691
2006,43777.01341977595,30991.090702161346,-157.57446866935493,12943.49718628396,16062.740999999998,-3119.243813716039,-7.12530063164826
2007,43649.71009865526,30470.52608289739,451.76681382483247,12727.41720193304,15815.4565,-3088.0392980669603,-7.074592915021663
2008,59217.09161817528,29990.379865908362,260.8472340092659,28965.86451825766,26240.1109,2725.7536182576605,4.602984617740083
2009,55306.95071844131,30383.846307784966,-800.1856290531159,25723.290039709464,25128.4058,594.8842397094618,1.0756048416733743
2010,51477.942442175154,30931.448788592144,251.4367293860572,20295.056924196953,16034.7871,4260.269824196954,8.27591318161655
2011,58280.21608425378,27427.335765475862,659.6798687051298,30193.200450072778,23373.761,6819.4394500727785,11.701122453310985
2012,49785.1968014772,28512.305661223152,-150.14961880213218,21423.040759056174,25283.227400000007,-3860.186640943833,-7.753683602651332
