Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,58234.259248737726,25249.605278917523,-150.57368340200168,33135.2276532222,13170.5875,19964.6401532222,34.28332464562937
2006,54429.623537561405,39898.00244910016,-9.695847921371325,14541.316936382613,16062.740999999998,-1521.424063617385,-2.7952132767691538
2007,56444.83556657114,28461.975354376165,365.8174994472265,27617.042712747752,15815.4565,11801.586212747752,20.908177150820006
2008,68301.48549893104,22049.752645505007,273.13012470579145,45978.60272872024,26240.1109,19738.491828720238,28.89906666675523
2009,65902.09856746951,33121.67686766395,-653.0368897061348,33433.458589511705,25128.4058,8305.052789511708,12.602106715932768
2010,57217.38321992131,39947.668105645076,336.6676201378357,16933.047494138395,16034.7871,898.2603941383968,1.5699082054938343
2011,70351.77635074372,24239.958107565955,761.8183986212788,45349.999844556485,23373.761,21976.23884455649,31.23764599061779
2012,67034.97112324873,22308.816154521595,-158.4631658047267,44884.61813453186,25283.227400000007,19601.390734531855,29.24054475759116
