date,PCP
1,177.04503447433999
2,142.34746683054956
3,129.6194868416622
4,144.24085472370015
5,245.8367520036369
6,250.74901712351834
7,240.30613550646552
8,235.05939352101294
9,225.61765894396552
10,226.26837579135238
11,173.66247769059805
12,172.8634811927532
