Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,58234.259248737726,29661.564144313277,51.718555575788145,28520.976548848652,13170.5875,15350.38904884865,26.359722347084517
2006,54429.623537561405,30991.090702161346,-157.57446866935493,23596.107304069414,16062.740999999998,7533.366304069416,13.84056294063968
2007,56444.83556657114,30470.52608289739,451.76681382483247,25522.542669848917,15815.4565,9707.086169848919,17.1974744410414
2008,68301.48549893104,29990.379865908362,260.8472340092659,38050.25839901341,26240.1109,11810.14749901341,17.291201520350896
2009,65902.09856746951,30383.846307784966,-800.1856290531159,36318.437888737666,25128.4058,11190.032088737667,16.979781117715838
2010,57217.38321992131,30931.448788592144,251.4367293860572,26034.497701943103,16034.7871,9999.710601943105,17.47670032987723
2011,70351.77635074372,27427.335765475862,659.6798687051298,42264.76071656273,23373.761,18890.99971656273,26.85220003881682
2012,67034.97112324873,28512.305661223152,-150.14961880213218,38672.81508082771,25283.227400000007,13389.587680827704,19.974033637174188
