Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,44487.144847601536,22912.06843874409,51.718555575788145,21523.357853281654,13170.5875,8352.770353281652,18.775694376196814
2006,47013.70200057246,23610.68182492027,-157.57446866935493,23560.59464432155,16062.740999999998,7497.853644321554,15.948230675878824
2007,44208.92652325229,23059.77416089299,451.76681382483247,20697.385548534465,15815.4565,4881.929048534464,11.042858156636639
2008,58266.06346656115,24951.471794622237,260.8472340092659,33053.74443792965,26240.1109,6813.633537929651,11.694000130693555
2009,56963.84704355805,23728.690563235457,-800.1856290531159,34035.34210937571,25128.4058,8906.936309375713,15.636121455359087
2010,49354.24645495185,22271.451431650723,251.4367293860572,26831.35829391507,16034.7871,10796.57119391507,21.875668193555857
2011,57051.02394628066,24381.37152661388,659.6798687051298,32009.972550961636,23373.761,8636.211550961638,15.137697719664962
2012,49253.747663144866,24541.94996189376,-150.14961880213218,24861.94732005324,25283.227400000007,-421.280079946765,-0.8553259395162666
