date,ETA
1,76.76125178708897
2,88.99290663147477
3,95.89641757395799
4,97.56375096227868
5,91.27459309358848
6,94.4480094578247
7,97.31327669635984
8,95.89508413064996
9,97.01002144506764
10,92.56387468382272
11,89.07064500164962
12,84.5533514791598
