Year,P,ET,$\Delta S$,$P-ET-\Delta S$,Q,Diff,\%Diff
2005,43521.77035023516,22912.06843874409,119.01682802092998,20490.68508347014,13170.5875,7320.09758347014,55.57912722929134
2006,43777.01341977595,23610.68182492027,-592.1513081126213,20758.482902968302,16062.740999999998,4695.741902968304,29.2337522155671
2007,43649.71009865526,23059.77416089299,654.0848927264212,19935.851045035848,15815.4565,4120.394545035847,26.052959932176773
2008,59217.09161817528,24951.471794622237,603.5215513105393,33662.09827224251,26240.1109,7421.987372242509,28.284893309054226
2009,55306.95071844131,23728.690563235457,-1153.617703509689,32731.87785871555,25128.4058,7603.472058715549,30.258473694003897
2010,51477.942442175154,22271.451431650723,-107.08176929863933,29313.572779823073,16034.7871,13278.785679823073,82.81236038252777
2011,58280.21608425378,24381.37152661388,1149.6187130973692,32749.225844542525,23373.761,9375.464844542525,40.11106661244001
2012,49785.1968014772,24541.94996189376,-122.24020997745643,25365.487049560892,25283.227400000007,82.25964956088524,0.3253526468732596
